"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB221","Pomacentridae","Pomacentrus","milleri",120.85956,100,"SL",20.85956
"2015-09_Dampier.transect_stereoBRUVs","NCB1453","Tetraodontidae","Lagocephalus","lunaris",542.9962,450,"SL",20.6658222222222
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB225","Scaridae","Scarus","tricolor",320.77293,266,"SL",20.5913270676692
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB301","Pomacentridae","Chromis","weberi",162.78836,135,"TL",20.5839703703704
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB163","Pomacentridae","Pomacentrus","coelestis",108.46476,90,"TL",20.5164
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Caesionidae","Pterocaesio","tile",360.97755,300,"TL",20.32585
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1553","Pomacanthidae","Chaetodontoplus","duboulayi",336.87441,280,"TL",20.3122892857143
"2015-01_Montebello.transect_stereoBRUVs","NCB698","Tetraodontidae","Feroxodon","multistriatus",468.42742,390,"TL",20.1095948717949
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB136","Carangidae","Atule","mate",360.12095,300,"TL",20.0403166666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Chaetodontidae","Heniochus","acuminatus",299.60575,250,"TL",19.8423
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB151","Labridae","Halichoeres","nebulosus",143.77926,120,"TL",19.81605
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1439","Monacanthidae","Paramonacanthus","choirocephalus",179.60235,150,"SL",19.7349
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Caesionidae","Pterocaesio","tile",359.11283,300,"TL",19.7042766666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Pomacentridae","Pomacentrus","coelestis",107.46916,90,"TL",19.4101777777778
"2015-01_Montebello.transect_stereoBRUVs","NCB642","Tetraodontidae","Feroxodon","multistriatus",465.12602,390,"TL",19.263082051282
"2015-09_Dampier.transect_stereoBRUVs","NCB1541","Tetraodontidae","Lagocephalus","lunaris",536.53859,450,"SL",19.2307977777778
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1288","Tetraodontidae","Lagocephalus","lunaris",535.14106,450,"SL",18.9202355555556
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB307","Caesionidae","Pterocaesio","digramma",355.38593,300,"TL",18.4619766666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB141","Labridae","Leptojulis","cyanopleura",153.98451,130,"TL",18.4496230769231
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB346","Labridae","Thalassoma","lutescens",352.68548,300,"TL",17.5618266666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB483","Labridae","Cirrhilabrus","temminckii",136.17186,116,"FL",17.3895344827586
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1331","Tetraodontidae","Lagocephalus","lunaris",528.03851,450,"SL",17.3418911111111
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB159","Pomacentridae","Pomacentrus","coelestis",105.57141,90,"TL",17.3015666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB124","Carangidae","Selaroides","leptolepis",257.81028,220,"TL",17.1864909090909
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Scaridae","Scarus","oviceps",410.04594,350,"TL",17.1559828571428
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB490","Tetraodontidae","Lagocephalus","lunaris",527.18608,450,"SL",17.1524622222222
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB154","Pomacentridae","Pomacentrus","coelestis",105.33341,90,"TL",17.0371222222222
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",257.43279,220,"TL",17.0149045454546
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB246","Nemipteridae","Pentapodus","porosus",315.84085,270,"TL",16.9780925925926
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB443","Tetraodontidae","Lagocephalus","lunaris",525.1654,450,"SL",16.7034222222222
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB486","Tetraodontidae","Feroxodon","multistriatus",454.65826,390,"TL",16.579041025641
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB269","Acanthuridae","Acanthurus","grammoptilus",407.71186,350,"TL",16.4891028571429
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB23","Siganidae","Siganus","doliatus",349.1985,300,"SL",16.3995
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1286","Tetraodontidae","Lagocephalus","lunaris",523.75614,450,"SL",16.3902533333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB20","Chaetodontidae","Parachaetodon","ocellatus",209.3742,180,"TL",16.319
